month,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU
1970-12,2.5672727272727274,7.2727272727272725,1.6363636363636365,0.0,0.0
1971-01,6.0636363636363635,10.181818181818182,5.090909090909091,1.0,0.0
1971-02,2.997272727272727,7.545454545454546,1.1818181818181819,0.8181818181818182,0.0
1971-03,2.2627272727272727,9.363636363636363,0.0,0.0,0.0
1971-04,3.61,6.181818181818182,3.4545454545454546,1.1818181818181819,0.0
1971-05,8.954545454545455,10.636363636363637,6.545454545454546,2.8181818181818183,0.0
1971-06,6.783636363636364,8.090909090909092,4.363636363636363,3.090909090909091,0.0
1971-07,4.547272727272728,6.181818181818182,3.6363636363636362,2.1818181818181817,0.0
1971-08,5.972727272727273,9.181818181818182,4.181818181818182,1.6363636363636365,0.0
1971-09,0.7172727272727273,1.9090909090909092,0.36363636363636365,0.0,0.0
1971-10,1.2127272727272727,3.3636363636363638,0.5454545454545454,0.0,0.0
1971-11,6.027272727272727,11.090909090909092,3.3636363636363638,1.7272727272727273,0.0
1971-12,0.4209090909090909,1.8181818181818181,0.0,0.0,0.0
1972-01,9.180833333333334,12.5,8.166666666666666,3.5833333333333335,0.0
1972-02,7.1575,13.166666666666666,4.416666666666667,2.5833333333333335,0.0
1972-03,2.9266666666666663,6.75,2.3333333333333335,0.08333333333333333,0.0
1972-04,4.7475,10.25,4.0,0.5,0.0
1972-05,5.7225,13.583333333333334,4.25,0.3333333333333333,0.0
1972-06,3.154166666666667,8.166666666666666,1.8333333333333333,0.4166666666666667,0.0
1972-07,14.566666666666668,9.833333333333334,8.166666666666666,5.083333333333333,0.0
1972-08,7.3,7.833333333333333,3.3333333333333335,2.3333333333333335,0.0
1972-09,4.1475,5.833333333333333,3.75,1.3333333333333333,0.0
1972-10,1.8483333333333334,4.0,1.1666666666666667,0.6666666666666666,0.0
1972-11,8.620833333333334,10.666666666666666,7.0,3.3333333333333335,0.0
1972-12,1.8436363636363637,5.2727272727272725,1.5454545454545454,0.0,0.0
1973-01,1.8683333333333334,6.0,0.8333333333333334,0.0,0.0
1973-02,3.775,8.416666666666666,2.1666666666666665,1.0,0.0
1973-03,0.36083333333333334,1.4166666666666667,0.0,0.0,0.0
1973-04,4.801666666666667,9.166666666666666,2.4166666666666665,1.3333333333333333,0.0
1973-05,8.090833333333334,12.666666666666666,7.333333333333333,2.1666666666666665,0.0
1973-06,5.470833333333334,2.75,1.0833333333333333,1.0,0.0
1973-07,4.205454545454545,8.181818181818182,3.4545454545454546,0.8181818181818182,0.0
1973-08,3.4250000000000003,6.333333333333333,2.5,1.0,0.0
1973-09,7.959166666666666,7.166666666666667,4.833333333333333,4.083333333333333,0.0
1973-10,4.530833333333333,5.833333333333333,3.5,1.5,0.0
1973-11,5.154166666666667,9.166666666666666,3.8333333333333335,1.9166666666666667,0.0
1973-12,4.4558333333333335,10.833333333333334,2.5833333333333335,0.3333333333333333,0.0
1974-01,6.221666666666667,8.916666666666666,4.333333333333333,1.9166666666666667,0.0
1974-02,3.3608333333333333,10.0,1.5,0.4166666666666667,0.0
1974-03,5.044545454545455,11.272727272727273,3.727272727272727,1.0909090909090908,0.0
1974-04,3.5233333333333334,5.166666666666667,3.4166666666666665,0.9166666666666666,0.0
1974-05,5.2575,10.5,4.416666666666667,0.9166666666666666,0.0
1974-06,6.5925,9.833333333333334,2.8333333333333335,1.8333333333333333,0.0
1974-07,2.345833333333333,6.583333333333333,1.1666666666666667,0.0,0.0
1974-08,3.8725,7.916666666666667,3.0833333333333335,0.6666666666666666,0.0
1974-09,10.535,13.666666666666666,7.0,4.25,0.0
1974-10,9.7975,18.416666666666668,6.333333333333333,3.0833333333333335,0.0
1974-11,6.6872727272727275,14.0,4.090909090909091,1.0,0.0
1974-12,3.5308333333333333,10.916666666666666,1.25,0.0,0.0
1975-01,6.838333333333334,15.916666666666666,5.666666666666667,0.25,0.0
1975-02,1.8616666666666666,4.916666666666667,0.75,0.0,0.0
1975-03,5.983333333333333,14.416666666666666,4.75,0.08333333333333333,0.0
1975-04,3.375833333333333,9.416666666666666,2.75,0.0,0.0
1975-05,8.458333333333334,9.75,4.833333333333333,3.0833333333333335,0.0
1975-06,3.154166666666667,6.416666666666667,2.5,0.5833333333333334,0.0
1975-07,6.614166666666667,7.333333333333333,3.6666666666666665,1.75,0.0
1975-08,3.9908333333333332,7.083333333333333,1.75,0.9166666666666666,0.0
1975-09,13.2025,11.25,7.75,4.416666666666667,0.0
1975-10,2.245833333333333,7.0,1.0833333333333333,0.0,0.0
1975-11,7.300833333333333,10.25,4.666666666666667,2.4166666666666665,0.0
